id,Shelves,shelf_order,title,author,translator,publisher,format_1,publisher,,price_eur,price_gbp,supplier,sku,buy link,isbn,format_2,,price_usd,price_eur,price_gbp,supplier,sku,buy link,isbn,format_3,price_usd,price_eur,price_gbp,supplier,sku,buy link,isbn,cover,supplier,,currency,weight,dimensions,pages,description_short,description_long,featured,active,tags,language_original,year,series,series_number
chopin-in-paris,Polish History; Books in Focus,100,Chopin In Paris: The Life And Times Of The Romantic Composer,Tad Szulc,,,Hardcover,,,,,,,,9780684812199,Paperback,,15,18,15,,,,9780306809330,Ebook,15,18,15,,,,,covers/ChopinInParis.jpg,ingram,,,,,,,,yes,yes,,English,,,
peasant-prince,Polish History,200,The Peasant Prince: Thaddeus Kosciuszko and the Age of Revolution,Alex Strozynski,,,Hardcover,,,,,,,,9780312625924,Paperback,,18,18,15,,,,9780312625948,Ebook,18,18,15,,,,9781429964395,covers/PeasantPrince.jpg,ingram,,,,,,,,yes,yes,,English,,,
izabela-the-valiant,Polish History,300,Izabela the Valiant: The Story of an Indomitable Polish Princess,Adam Zamoyski,,,Hardcover,,,,,,,,9780008411251,Paperback,,20,20,16,,,,9780008521684,Ebook,20,20,16,,,,9780008411275,covers/IzabelaTheValiant.jpg,ingram,,,,,,,,yes,yes,,English,,,
light-and-flame,Polish History,400,"The Polish-Lithuanian Commonwealth, 1733-1795: Light and Flame",Richard Butterwick,,,Hardcover,,44,45,38,,,,9780300252200,,,,,,,,,9780300252217,Ebook,44,45,38,,,,9780300252224,covers/LightAndFlame.jpg,ingram,,,,,,,,yes,yes,,English,,,
trail-of-hope,Polish History,500,"Trail of Hope: The Anders Army, An Odyssey Across Three Continents",Norman Davies,,,Hardcover,,58,52,44,,,,9781472816030,,,,,,,,,9781472816047,Ebook,58,52,44,,,,,covers/TrailOfHope.jpg,ingram,,,,,,,,yes,yes,,English,,,
303-squadron,Polish History,600,303 Squadron: The Legendary Battle of Britain Fighter Squadron,Arkady Fiedler,Jarek Garlinski,,Hardcover,,,,,,,,978-1607720041,Paperback,,23,20,18,,,,9781607720058,Ebook,23,20,18,,,,,covers/303squadron.jpg,ingram,,,,,,,,yes,yes,,Polish,,,
the-doll,Classics,150,The Doll,Bolesław Prus,David Welsh,,Hardcover,,,,,,,,,Paperback,,18,16,14,,,,9781590173831,Ebook,18,16,14,,,,9781590173848,covers/the-doll.jpg,,,,,,,,,yes,yes,,Polish,,,
the-peasants,Classics,250,The Peasants,Władysław Reymont,Anna Zaranko,,Hardcover,,,,,,,,,Paperback,,19.5,18,17,,,,9780241524244,Ebook,19.5,18,17,,,,,covers/the-peasants.jpg,,,,,,,,,yes,yes,,Polish,,,
pan-tadeusz,Classics,350,Pan Tadeusz: The Last Foray in Lithuania,Adam Mickiewicz,Bill Johnston,,Hardcover,,,,,,,,,Paperback,,16.96,15,13,,,,9781939810007,Ebook,16.96,15,13,,,,,covers/pan-tadeusz.jpg,,,,,,,,,yes,yes,,Polish,,,
choucas,Classics; Books in Focus,450,Choucas,Zofia Nałkowska,Ursula Philips,,Hardcover,,,,,,,,,Paperback,,20,19,17,,,,9780875807072,Ebook,20,19,17,,,,,covers/choucas.jpg,,,,,,,,,yes,yes,,Polish,,,
desert-wilderness,Classics,550,In desert and wilderness,Henryk Sienkiewicz,Andrew Anzur Clement,,Hardcover,,17.99,15,13,,,,9798325216770,,,,,,,,,,Ebook,17.99,15,13,,,,,covers/desert-wilderness.jpg,,,,,,,,,yes,yes,,Polish,,,
forest-folk,Classics; Young Adult,650,A Summer of the Forest Folk,Maria Rodziewiczówna,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,24,,,,,,9789998791732,Paperback,,,,,,,,,Ebook,24,,,,,,,covers/forest-folk.jpg,,,,,,,,,yes,yes,,Polish,,The Wonderful World of Maria Ro,1
castorp,Books in Focus; Fiction,100,Castorp,Pawel Huelle,Antonia Lloyd-Jones,,Hardcover,,15,12,10,,,,,Paperback,,15,12,10,,,,9781852429454,Ebook,15,12,10,,,,,covers/castorp.jpg,,,,,,,,,yes,yes,,Polish,,,
shah-of-shahs,Non-fiction,100,Shah of Shahs,Ryszard Kapuścinski,,,Hardcover,,14,14,12,,,,,Paperback,,14,14,12,,,,9780679738015,Ebook,14,14,12,,,,,covers/shah-of-shahs.jpg,,,,,,,,,yes,yes,,Polish,,,
the-emperor,Non-fiction,400,The Emperor: Downfall of an Autocrat,Ryszard Kapuścinski,,,Hardcover,,14,14,12,,,,,Paperback,,14,14,12,,,,9780141188034,Ebook,14,14,12,,,,,covers/the-emperor.jpg,,,,,,,,,yes,yes,,Polish,,,
another-day-of-life,Books in Focus,400,Another Day of Life,Ryszard Kapuścinski,,,Hardcover,,13,12,11,,,,,Paperback,,13,12,11,,,,9780375726293,Ebook,13,12,11,,,,,covers/another-day.jpg,,,,,,,,,yes,yes,,Polish,,,
meeting-in-oea,Non-fiction,600,A Meeting in Oea,Aleksander Krawczuk,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,25,24,22,,,,9782919820382,Paperback,,25,24,22,,,,,Ebook,25,24,22,,,,,meeting-in-oea.jpg,,,,,,,,,yes,yes,,Polish,,,
seven-against-thebes,Non-fiction,800,Seven Against Thebes,Aleksander Krawczuk,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,25,24,20,,,,9789998793729,Paperback,,25,24,20,,,,,Ebook,25,24,20,,,,,covers/seven-against.jpg,,,,,,,,,yes,yes,,Polish,,,
emperor-julian,Non-fiction,900,Emperor Julian,Aleksander Krawczuk,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,27,25,22,,,,9782919840052,Paperback,,27,25,22,,,,,Ebook,27,25,22,,,,,covers/emperor-julian.jpg,,,,,,,,,yes,yes,,Polish,,,
last-olympiad,Non-fiction,1000,The Last Olympiad,Aleksander Krawczuk,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,25,24,20,,,,9782919820290,Paperback,,25,24,20,,,,,Ebook,25,24,20,,,,,covers/last-olympiad.jpg,,,,,,,,,yes,yes,,Polish,,,
solaris,Fiction,600,Solaris,Stanisław Lem,Joanna Kilmartin,,Hardcover,,10,9,8,,,,,Paperback,,10,9,8,,,,9780156027601,Ebook,10,9,8,,,,,covers/solaris.jpg,,,,,,,,,yes,yes,,Polish,,,
fiasco,Fiction,200,Fiasco,Stanisław Lem,Michael Kandel,,Hardcover,,17,15,12,,,,,Paperback,,17,15,12,,,,9780156306300,Ebook,17,15,12,,,,,covers/fiasco.jpg,,,,,,,,,yes,yes,,Polish,,,
the-invincible,Fiction,600,The Invincible,Stanisław Lem,Bill Johnston,,Hardcover,,17,16,13,,,,,Paperback,,17,16,13,,,,9780262357685,Ebook,17,16,13,,,,,covers/the-invincible.jpg,,,,,,,,,yes,yes,,Polish,,,
chahary,Fiction; Books in Focus,100,Chahary,Maria Rodziewiczówna,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,17,16,15,,,,,Paperback,,17,16,15,,,,9782919840106,Ebook,17,16,15,,,,,covers/chahary.jpg,,,,,,,,,yes,yes,,Polish,,The Wonderful World of Maria Ro,4
melicles,Fiction; Young Adult,100,Melicles the Greek,Witold Makowiecki,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,24,24,20,,,,9789998791671,Paperback,,24,24,20,,,,,Ebook,24,24,20,,,,,covers/melicles.jpg,,,,,,,,,yes,yes,,Polish,,,
diossos,Fiction; Young Adult,600,Diossos the Corinthian,Witold Makowiecki,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,24,24,20,,,,9789998791794,Paperback,,24,24,20,,,,,Ebook,24,24,20,,,,,covers/diossos.jpg,,,,,,,,,yes,yes,,Polish,,,
white-jaguar-1,Fiction; Young Adult,100,The White Jaguar,Arkady Fiedler,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,21,20,18,,,,9782919820481,Paperback,,21,20,18,,,,,Ebook,21,20,18,,,,,covers/white-jaguar-1.jpg,,,,,,,,,yes,yes,,Polish,,The White Jaguar,1
ships-minos-1,Fiction; Young Adult,200,The Ships of Minos,The Ships of Minos,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,21,20,18,,,,9782919820153,Paperback,,21,20,18,,,,,Ebook,21,20,18,,,,,covers/ships-minos-1.jpg,,,,,,,,,yes,yes,,Polish,,The Ships of Minos,1
divine-julius,Classics,250,Divine Julius,Jacek Bocheński,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,24,,,,,,9789998793781,Paperback,,,,,,,,,Ebook,,,,,,,,covers/divine-julius.jpg,,,,,,,,,yes,yes,,Polish,,The Roman Trilogy,1
naso-the-poet,Classics,450,Naso the Poet,Jacek Bocheński,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,25,,,,,,9782919820047,Paperback,,,,,,,,,Ebook,,,,,,,,covers/naso-the-poet-1.jpg,,,,,,,,,yes,yes,,Polish,,The Roman Trilogy,2
tiberius-caesar,Classics,650,Tiberius Caesar,Jacek Bocheński,Tom Pinch,Mondrala Press,Hardcover,Mondrala Press,32,,,,,,9782919820467,Paperback,,,,,,,,,Ebook,,,,,,,,covers/tiberius-caesar.jpg,,,,,,,,,yes,yes,,Polish,,The Roman Trilogy,3
milosz-selected-and-last-poems,Poetry,100,Selected and Last Poems: 1931-2004,Czesław Miłosz,,Ecco,Hardcover,Ecco,,,,,,,,Paperback,,14,,,,,,9780062095886,Ebook,,,,,,,,covers/milosz-selected-and-last-poems.jpg,,,,,,,,,yes,yes,,Polish,,,
poems-new-and-szymborska,Poetry,200,Poems New And Collected: 1957-1997,Wisława Szymborska,,Ecco,Hardcover,Harcourt,38,,,,,,9780151003532,Paperback,Ecco,11,,,,,,9780156011464,Ebook,,,,,,,,covers/poems-new-and-szymborska.jpg,,,,,,,,,yes,yes,,Polish,,,
poems-herbert,Poetry,300,Poems,Zbigniew Herbert,,,Hardcover,,,,,,,,,Paperback,Everyman's Library,18,,,,,,9781400043293,Ebook,,,,,,,,covers/poems-herbert.jpg,,,,,,,,,yes,yes,,Polish,,,
without-end,Poetry,400,Without End: New and Selected Poems,Adam Zagajewski,,"Farrar, Straus and Giroux",Hardcover,"Farrar, Straus and Giroux",,,,,,,,Paperback,"Farrar, Straus and Giroux",15,,,,,,9780374528614,Ebook,,,,,,,,covers/without-end.jpg,,,,,,,,,yes,yes,,Polish,,,
sobbing-superpower,Poetry,600,Sobbing Superpower,Tadeusz Różewicz,Joanna Trzeciak,W. W. Norton,Hardcover,W. W. Norton,16,,,,,,9780393067798,Paperback,,19,,,,,,9780393345551,Ebook,,,,,,,,covers/sobbing-superpower.jpg,,,,,,,,,yes,yes,,Polish,,,
map-collected-and-last,Poetry,700,Map: Collected and Last Poems,Wisława Szymborska,,Mariner Books,Hardcover,Mariner Books,30,,,,,,9780544126022,Paperback,,11,,,,,,9780544705159,Ebook,,,,,,,,covers/map-collected-and-last.jpg,,,,,,,,,yes,yes,,Polish,,,
from-tree-of-knowledge,Poetry,800,From the Tree of Knowledge,Józef Wittlin,Patrick John Corness,Mondrala Press,Hardcover,,25,,,,,,9788367602488,Paperback,,11,,,,,,9788367602471,Ebook,,,,,,,,covers/from-the-tree-of-knowledge.jpg,,,,,,,,,yes,yes,,Polish,,,
krzysztof-kamil-baczynski ,Poetry,900,"Krzysztof Kamil Baczyński Poet of the Warsaw Uprising 1944: Saved poetry, manuscripts, and drawings","Anna Mickiewicz, Tomasz Mickiewicz, Steve Rushton",,,Hardcover,,,,,,,,,Paperback,,7,,,,,,9798802065853,Ebook,,,,,,,,covers/krzysztof-kamil-baczynski.jpg,,,,,,,,,yes,yes,,Polish,,,
white-magic-baczynski,Poetry,1000,White Magic and Other Poems,Krzysztof Kamil Baczynski,Bill Johnston,,Hardcover,,,,,,,,,Paperback,,14,,,,,,9781931243810,Ebook,,,,,,,,covers/white-magic-baczynski.jpg,,,,,,,,,yes,yes,,Polish,,,
